Crazy stay snack,Islands Restaurant,2019-12-14,2020-07-18,2
Special rest food,Long John Silvers,2020-01-06,2020-08-18,5
Hot day snack,McDonald's,2020-02-06,2020-06-15,15
Smart quarantine order,Five Guys,2020-07-23,2020-10-24,15
Blue rest item,Blimpie,2020-01-23,2020-04-17,10
Crazy vacay food,Carl's / Green Burrito,2020-08-28,2020-10-28,2
Amazing vacay order,Dairy Queen,2019-11-09,2020-07-07,10
Crazy home item,7-11,2019-11-06,2020-07-19,10
White quarantine snack,Popeye's Chicken & Biscuits,2020-02-14,2020-04-05,10
Cool quarantine snack,Jolly's Drive-In,2019-11-15,2020-05-26,15
Super vacay order,Ll Hawaiian Barbecue,2019-11-25,2020-04-29,15
Cool quarantine snack,Rally's Hamburgers,2019-12-30,2020-09-26,12
Amazing day meal,Kerby's Koney Island,2020-01-26,2020-02-22,12
Good holiday snack,Qdoba Mexican Grill,2019-11-30,2020-09-07,15
Amazing day order,Peking Wok,2020-02-06,2020-03-05,15
Great home order,Loco Moco Drive-Inn,2020-06-12,2020-09-19,2
Blue stay food,Home Town Buffet,2020-01-14,2020-04-17,10
Cool vacay snack,Baker's Drive Thru,2020-05-16,2020-06-14,2
Hot day item,Pizza Express,2020-01-13,2020-05-06,12
Cool stay meal,Coop DeVille,2019-12-10,2020-07-21,2
Super stay order,Roly Poly,2020-04-06,2020-07-31,10
Great quarantine snack,Mocha Express,2019-12-02,2020-03-20,10
Romantic day food,Cafe Rio,2019-12-15,2020-05-10,12
Hot quarantine food,Pacific Rim,2020-05-10,2020-10-11,12
Perfect vacay order,Taco Time,2020-06-22,2020-09-22,8
Blue quarantine snack,Garden Fast Food,2020-02-27,2020-05-14,2
Good day item,Rahway Chicken & Burger Inc,2020-06-17,2020-07-10,15
Smart vacay food,KFC / Taco Bell,2020-06-07,2020-06-17,10
Cool home meal,Seaside Eatery,2020-01-14,2020-02-16,15
Cool day item,Geno's Fast Break,2020-04-08,2020-05-05,15
Blue holiday item,Mc Donald's,2020-04-22,2020-05-20,5
Chill home meal,Bad Daddys Burger Bar,2019-12-24,2020-07-21,15
Romantic rest food,Nathan's Famous,2019-11-26,2020-04-15,5
Crazy holiday snack,Mickey's Gyros & Ribs,2020-05-11,2020-10-27,15
Romantic home food,Boston Market 381,2020-01-29,2020-07-19,15
Good grab snack,Char-Grill,2020-03-22,2020-10-15,10
Special day order,Omega Drive-In,2020-04-27,2020-07-01,12
Romantic rest snack,Jack's,2020-04-16,2020-05-06,5
Romantic quarantine meal,Papa Johns,2020-04-17,2020-06-14,2
Smart holiday food,Cusinera,2019-11-13,2020-08-19,10
White stay item,Rancher's Roast Beef Inc.,2020-02-14,2020-05-21,12
Romantic vacay order,Wetzel's Pretzels,2020-02-25,2020-06-23,12
Perfect rest food,Shoney's on the Go,2019-11-01,2020-07-30,10
Amazing home item,Rocky's,2020-06-12,2020-06-13,18
Super vacay item,The Pita Pit,2019-12-13,2020-02-14,10
Super grab meal,Burger's Landing,2020-07-08,2020-08-29,18
Amazing vacay item,Milo's Hamburgers,2020-06-02,2020-07-17,8
Crazy home food,Jimmy Johns,2019-11-11,2020-02-18,12
Super quarantine snack,Rahway Chicken & Burger Inc,2019-11-09,2020-08-16,10
Chill home order,Runza,2019-11-17,2020-05-31,15
Great vacay item,Chick-fil-a Truett's Luau,2020-06-12,2020-09-13,12
Smart vacay meal,Wienerschnitzel,2019-11-14,2019-12-16,10
Romantic vacay order,Breadeaux Pizza,2019-11-24,2020-07-04,15
Chill quarantine item,Mario's Natural Roman Pizza,2020-01-24,2020-09-10,15
Great vacay meal,Hot Dog on a Stick,2020-01-19,2020-04-17,12
Super day snack,Shot Tower Inn,2020-08-16,2020-09-09,8
Hot rest food,Bob Evans,2020-02-22,2020-09-24,12
White stay meal,Chuck Wagon,2020-05-31,2020-09-19,10
Crazy vacay order,Hardee's / Red Burrito,2020-09-28,2020-10-27,12
Chill grab food,Vista Drive In,2020-01-13,2020-04-29,10
White grab item,Royal Buffet,2019-11-13,2019-12-16,12
Hot quarantine order,Alice's,2020-05-01,2020-06-25,8
Amazing quarantine item,Burger King,2020-02-02,2020-09-23,18
Smart stay meal,Maui Tacos,2020-02-09,2020-04-19,10
White grab item,Simmies Arirang Hill Cheese Steak,2020-01-07,2020-10-12,15
White stay item,Pita Pit,2020-02-21,2020-09-08,15
Super rest item,Wu's Fine Chinese Cuisine,2019-12-09,2020-06-11,10
Special holiday snack,Lime Ricky World,2020-08-17,2020-09-07,10
Blue day food,Red Robin Gourmet Burgers,2020-07-13,2020-07-13,12
Amazing holiday item,Froots,2020-05-03,2020-07-10,10
Super quarantine food,KFC / Taco Bell,2019-11-12,2020-05-29,10
Blue day order,Long John Silver's,2020-02-19,2020-02-29,15
Romantic holiday food,Elevation Burger,2020-01-25,2020-04-21,8
White holiday order,Wendy Two Two Eight,2020-04-06,2020-06-08,10
Special vacay food,Mcdonald's #25557,2019-11-30,2019-12-14,15
Great stay meal,Thunder Ridge Ampride,2020-01-30,2020-08-04,15
Amazing holiday food,Checker's Drive-in Restaurant,2020-06-15,2020-09-26,10
White stay order,Pop-A-Nugget,2020-09-04,2020-09-11,15
Perfect quarantine item,Taco Del Mar,2019-11-28,2020-05-29,15
Cool stay food,Sbarro,2020-01-03,2020-05-17,8
Special grab meal,Subway Sandwiches and Salads,2019-12-17,2020-02-22,5
White rest food,Pick Up Stix,2019-11-09,2020-02-21,10
Cool rest snack,Tom's Grill,2020-06-08,2020-07-04,10
Super quarantine food,Wingstop,2020-05-27,2020-09-26,12
Romantic grab order,Little Caesars Pizza,2020-06-15,2020-07-18,12
White home item,Jolly's Drive-In,2020-05-28,2020-06-24,8
Cool rest meal,Subway Guitars,2019-11-26,2020-06-20,12
Hot day item,In-A-Tub,2020-03-01,2020-07-10,8
Smart home food,Hamburger King,2020-05-11,2020-07-20,10
Perfect quarantine order,China Buddha Inn II,2020-06-10,2020-08-24,8
Perfect stay snack,Strongwater Spirits & Botanicals,2019-12-30,2020-09-03,12
Smart quarantine item,Handy's Lunch,2020-02-21,2020-10-13,10
Amazing home meal,Love's,2020-04-10,2020-10-17,10
Special home food,Sonic Drive-in (trailer),2020-06-09,2020-09-03,12
Great holiday order,Boston Chowda Company,2020-08-16,2020-10-14,5
Blue rest item,Pizza Hut Wingstreet,2019-11-16,2020-02-04,2
Chill home snack,Long John Silvers / A&W,2020-06-07,2020-06-14,15
Romantic home food,Strongwater Spirits & Botanicals,2020-09-23,2020-10-17,10
Super stay item,The Press Club,2020-05-31,2020-05-31,15
Amazing vacay order,Don & Millie's,2019-12-05,2019-12-13,10
Chill vacay food,Redbox,2020-08-17,2020-09-05,12
Blue quarantine order,Carl's / Green Burrito,2020-04-08,2020-05-05,5
Hot holiday snack,Hot Dog on a Stick,2020-02-26,2020-08-29,8
Super day snack,Dairy Queen,2020-01-05,2020-08-05,18
Special quarantine meal,Tommy's Sub Shop,2019-11-16,2020-04-12,12
Super quarantine order,McDonalds,2020-03-28,2020-09-30,12
Smart quarantine item,Islands Restaurant,2019-11-26,2020-02-02,10
Cool holiday item,Sheetz,2019-11-22,2020-05-17,10
Good stay snack,Alice's,2019-11-10,2020-01-13,10
White stay order,Kennedy Fried Chicken & Pizza,2019-12-04,2020-08-10,12
Blue day food,Subway Sandwiches and Salads,2019-11-08,2020-05-26,2
Super vacay item,B. Good,2020-07-11,2020-07-21,5
Amazing quarantine food,King Grill,2020-08-16,2020-09-28,15
Good home food,Don & Millie's,2020-06-04,2020-09-03,18
Romantic holiday order,The Halal Guys,2019-11-30,2019-12-16,18
Good grab snack,Bamboo Bistro,2020-05-03,2020-07-21,15
Amazing home item,Bob Evans,2020-06-27,2020-07-24,15
Chill vacay snack,Omelette House,2020-01-29,2020-04-06,12
Hot vacay snack,Popeye's Chicken & Biscuits,2019-11-30,2020-09-03,12
Hot stay item,QDOBA Mexican Eats,2019-11-22,2019-12-23,10
Smart rest food,Kasa's Pizza,2020-05-10,2020-05-27,15
Special holiday food,Burgerville,2020-06-12,2020-09-04,15
Good holiday snack,Spangle's,2019-11-18,2020-03-15,15
Super quarantine meal,Little Caesar's Pizza Smithfield,2020-01-18,2020-06-26,12
Great holiday item,Carl's Jr / Green Burrito,2019-11-08,2020-01-15,10
Cool stay meal,Rafael's,2020-05-20,2020-06-28,5
Hot day item,Carl's / Green Burrito,2020-06-28,2020-09-28,12
Smart day item,Taco Bell,2020-02-26,2020-06-08,10
Crazy home food,St Louis Original Hamburgers,2020-03-06,2020-08-26,15
Perfect quarantine order,Carl's Jr. / Green Burrito,2019-11-07,2020-02-11,10
Blue day snack,Shoney's on the Go,2020-02-06,2020-07-08,10
Special home snack,Zaxby's,2020-05-19,2020-09-17,15
Perfect grab meal,Lee's Oriental Martial Arts,2020-08-16,2020-09-08,18
Cool stay meal,Taqueria,2019-11-13,2020-07-07,10
Perfect day meal,Saladworks,2019-12-14,2020-05-08,12
Great home snack,Dunkin Donuts,2020-01-13,2020-10-27,15
Good vacay food,Ny Chicken Fish,2019-12-05,2020-02-06,2
White vacay snack,The Press Club,2020-02-17,2020-10-31,12
White stay order,Flash Foods / McDonald's,2019-12-24,2020-01-05,10
Romantic grab snack,Carls Jr. / Green Burrito,2020-03-03,2020-06-10,15
White day item,Taco Bell,2020-01-31,2020-10-17,12
Super day order,Wings And Philly,2020-05-31,2020-09-26,12
Hot holiday snack,Richie's Restaurant,2019-12-15,2020-05-11,2
Hot home meal,Taco Bueno,2020-05-26,2020-08-27,8
Blue quarantine item,BLIMPIE,2020-07-21,2020-08-22,15
Smart holiday food,Tom's Drive In,2020-02-14,2020-08-03,8
Super day food,Taco Del Mar,2020-07-30,2020-08-07,8
Special day food,Hoka Hoka Bento,2020-05-13,2020-08-04,8
Good home food,Twisters,2020-06-06,2020-07-17,2
Cool vacay snack,Nick's Gyros,2020-04-06,2020-05-26,10
Hot holiday item,Bills Place,2020-02-24,2020-04-02,12
Hot holiday snack,Lee's Famous Recipe Chicken,2020-03-22,2020-10-18,12
Great rest snack,Sconecutter,2020-02-26,2020-05-27,15
Great rest food,Sheetz,2020-02-15,2020-08-24,10
White stay meal,Five Guys,2019-11-14,2020-09-30,15
Great stay item,Fab Wings N Burgers,2020-02-04,2020-10-28,5
Hot stay food,Lee's Famous Recipe Chicken,2020-01-13,2020-01-17,10
Good rest meal,Exxon,2020-07-24,2020-08-11,15
Crazy holiday order,Checkers,2020-07-30,2020-10-18,15
Hot vacay meal,Subway Guitars,2019-11-24,2020-03-28,10
Blue day snack,Moe's Southwest Grill,2020-02-02,2020-02-24,12
Cool vacay meal,Osgood's,2020-03-20,2020-10-18,5
Chill vacay food,Sonic Drive In,2020-04-14,2020-04-25,10
Special grab snack,Jack Pirtles Chicken,2020-04-08,2020-04-14,15
Super quarantine food,Quizno's +,2020-02-24,2020-07-10,2
Blue quarantine order,Mazatlan Mexican Restaurant,2020-05-17,2020-10-01,10
Cool home snack,A & W Family Restaurant,2020-07-31,2020-10-19,15
Crazy holiday order,Long John Silver's / A&W,2020-09-06,2020-10-18,12
Smart rest order,Capriotti's Sandwich Shop,2020-04-24,2020-07-23,12
Great day meal,Kennedy Fried Chicken & Pizza,2020-01-25,2020-03-22,2
White holiday item,Popeyes Chicken and Biscuits,2019-12-27,2020-07-22,10
Romantic stay item,name,2020-02-03,2020-08-27,10
Good quarantine snack,Quick,2020-03-21,2020-06-17,15
Chill stay meal,Cook Out,2019-11-22,2020-02-24,2
Crazy grab snack,Nielsen's Frozen Custard,2020-04-04,2020-10-23,15
Smart quarantine meal,Brixton's,2020-06-01,2020-09-25,10
White day order,A&W/Long John Silvers,2020-01-28,2020-02-01,12
Crazy grab food,Luby's,2020-05-08,2020-10-13,5
Hot vacay item,Dan's Seafood & Chicken,2019-11-13,2020-09-16,8
Good holiday snack,Port of Subs,2019-12-28,2020-10-15,10
Perfect stay item,Mr. Hero,2020-09-24,2020-09-26,5
Crazy home snack,Cafe Rio,2020-07-20,2020-10-17,18
Romantic grab food,Mr Char-Burger,2020-05-06,2020-10-21,10
Amazing quarantine snack,Cinnabon,2020-04-04,2020-05-26,12
Crazy day snack,A&W,2020-02-22,2020-03-20,5
Cool quarantine item,Hardee's,2020-05-04,2020-07-19,18
Cool day meal,Mayfair Boardwalk Grill,2020-05-26,2020-06-16,18
Amazing holiday snack,Yum Brands Inc,2020-04-29,2020-07-27,15
Cool grab item,Jim's Coney Island,2020-08-08,2020-08-20,10
Romantic rest food,Jason's Deli,2020-04-14,2020-06-16,2
Great grab food,Taco Casa,2020-04-15,2020-10-23,5
Crazy grab food,Taco Local,2019-12-25,2020-05-26,10
Super stay meal,Quizno's +,2020-02-14,2020-08-19,8
Chill day item,Strongwater Spirits & Botanicals,2020-04-08,2020-09-10,12
Amazing home snack,Checker's Drive-in Restaurant,2020-04-01,2020-05-17,15
Perfect stay snack,Dq Grill & Chill,2020-04-28,2020-10-24,15
Good vacay item,Siam To Go,2020-03-31,2020-06-14,15
Blue vacay food,Wendy Two Two Eight,2020-05-08,2020-08-03,12
Chill rest item,Shloma Inc,2019-12-11,2020-07-17,5
Great grab snack,Pollo Tropical,2020-02-03,2020-04-23,12
Romantic rest meal,Arby's,2020-10-03,2020-10-24,10
Great home snack,Blondies,2020-01-12,2020-06-12,12
Hot home food,Mickey's Gyros & Ribs,2020-02-25,2020-08-12,15
Hot grab order,Mc Donalds,2020-01-01,2020-01-13,2
Blue vacay meal,Baja Fresh,2020-02-06,2020-03-29,12
Romantic home meal,Rahway Chicken & Burger Inc,2020-08-12,2020-09-13,10
Special holiday meal,Wienerschnitzel,2019-12-25,2020-01-13,8
Romantic quarantine order,Cookout,2020-01-22,2020-09-14,10
Amazing stay meal,Milo's Hamburgers,2020-04-29,2020-06-12,2
Blue vacay order,Fuku,2020-03-23,2020-05-05,12
Great holiday food,Burger Time,2020-02-14,2020-07-03,5
Perfect stay item,Fatburger,2020-06-04,2020-10-26,12
Super home meal,Los Verdes,2020-01-23,2020-08-22,10
Amazing day order,In-A-Tub,2020-02-05,2020-03-26,10
Cool day item,Chick-fil-a,2020-04-14,2020-05-14,10
Hot holiday order,Aprisa Mexican Cuisine,2019-12-10,2020-05-02,18
Crazy home item,Firehouse Subs,2020-02-10,2020-09-01,12
Smart rest snack,Pal's Sudden Service,2020-05-15,2020-06-02,15
Special home snack,Ball State Lafollette Dining,2020-05-20,2020-06-27,10
White stay meal,Taco Casa,2019-11-19,2020-07-04,5
Chill quarantine snack,Travelcenters of America,2020-03-01,2020-09-19,15
Hot grab order,Rafael's,2019-11-09,2019-12-29,12
White day item,Rocky's,2020-02-05,2020-09-10,15
