orderid,paymentMethod,rating,location,fee,orderTime,departTime1,arriveTime,departTime2,deliveryTime,riderUsername,customerUsername,rname
10,Mastercard,2,Bangkit,187.8,2020-01-15 17:47:37,2020-01-15 17:48:20,2020-01-15 17:52:56,2020-01-15 17:57:35,2020-01-15 18:2:21,ii,customer58,Arctic Circle
11,Cash,5,Toh Guan,277.2,2020-01-15 17:43:41,2020-01-15 17:47:42,2020-01-15 17:48:34,2020-01-15 17:49:32,2020-01-15 17:53:06,ii,customer253,Panera Bread
12,Mastercard,2,Holland Village,64.8,2020-01-15 17:10:47,2020-01-15 17:14:47,2020-01-15 17:18:27,2020-01-15 17:21:35,2020-01-15 17:24:08,ii,customer182,Hardees
13,Visa,2,Punggol Point,103.2,2020-01-15 17:37:54,2020-01-15 17:38:41,2020-01-15 17:43:35,2020-01-15 17:45:15,2020-01-15 17:46:29,hh,customer82,Flash Foods / McDonald's
14,Mastercard,2,Mount Pleasant,186.0,2020-01-15 18:27:02,2020-01-15 18:28:03,2020-01-15 18:29:01,2020-01-15 18:32:55,2020-01-15 18:37:03,zzz,customer77,Denton's
15,Cash,3,Bishan,397.8,2020-01-15 18:17:04,2020-01-15 18:19:49,2020-01-15 18:20:18,2020-01-15 18:21:10,2020-01-15 18:22:33,vvv,customer218,Cook-Out
16,Visa,1,Bright Hill,91.2,2020-01-15 18:14:25,2020-01-15 18:19:39,2020-01-15 18:20:22,2020-01-15 18:22:40,2020-01-15 18:27:13,ii,customer208,Wendy's
17,Cash,3,Fort Canning,121.8,2020-01-15 18:09:34,2020-01-15 18:13:12,2020-01-15 18:17:23,2020-01-15 18:21:52,2020-01-15 18:24:47,www,customer141,Taco Cabana
18,Visa,5,Mountbatten,100.8,2020-01-15 18:52:36,2020-01-15 18:56:35,2020-01-15 19:1:30,2020-01-15 19:2:32,2020-01-15 19:4:22,ii,customer88,Cousins Subs of Green Bay - Oneida St. & Ramada Way
19,Visa,2,Bishan,171.0,2020-01-15 19:29:00,2020-01-15 19:31:58,2020-01-15 19:35:52,2020-01-15 19:36:52,2020-01-15 19:41:36,l,customer22,Subway Sandwiches and Salads
20,Cash,4,Meridian,160.2,2020-01-15 19:26:10,2020-01-15 19:29:35,2020-01-15 19:34:12,2020-01-15 19:38:16,2020-01-15 19:42:30,bbbb,customer123,Jamba Juice
21,Cash,2,Tengah,150.0,2020-01-15 19:36:29,2020-01-15 19:38:37,2020-01-15 19:43:22,2020-01-15 19:45:06,2020-01-15 19:50:41,vvv,customer76,Hardees
22,Visa,5,Coral Edge,230.4,2020-01-15 19:16:31,2020-01-15 19:19:38,2020-01-15 19:20:07,2020-01-15 19:23:15,2020-01-15 19:25:13,bbbb,customer200,Crystal Restaurant
23,Visa,1,Jurong East,91.2,2020-01-15 19:59:33,2020-01-15 20:4:02,2020-01-15 20:5:04,2020-01-15 20:7:11,2020-01-15 20:10:03,ii,customer22,Qdoba Mexican Eats
24,Visa,2,Enterprise,115.8,2020-01-15 19:50:48,2020-01-15 19:55:22,2020-01-15 19:57:36,2020-01-15 19:58:38,2020-01-15 20:1:56,yyy,customer94,Sensenig Poultry LLC
25,Mastercard,3,Orchard,284.4,2020-01-15 19:10:49,2020-01-15 19:15:37,2020-01-15 19:18:29,2020-01-15 19:20:45,2020-01-15 19:25:26,hh,customer70,Mcdonald's - Walmart
26,Cash,2,Lorong Chuan,355.8,2020-01-15 19:30:59,2020-01-15 19:33:56,2020-01-15 19:37:51,2020-01-15 19:41:28,2020-01-15 19:46:16,hh,customer3,Checker's
27,Mastercard,4,Mattar,215.4,2020-01-15 20:31:21,2020-01-15 20:36:32,2020-01-15 20:41:30,2020-01-15 20:44:39,2020-01-15 20:45:21,bbbb,customer41,Chick-Fil-A
28,Visa,2,Tuas West Road,147.0,2020-01-15 20:48:37,2020-01-15 20:50:05,2020-01-15 20:54:12,2020-01-15 20:59:37,2020-01-15 21:2:26,ii,customer198,Long John Silver's / A&W
29,Cash,3,Rumbia,142.8,2020-01-15 20:55:39,2020-01-15 20:56:46,2020-01-15 20:59:51,2020-01-15 21:1:30,2020-01-15 21:3:56,yyy,customer259,King Grill
30,Cash,5,Havelock,423.0,2020-01-15 20:05:40,2020-01-15 20:9:05,2020-01-15 20:12:32,2020-01-15 20:15:20,2020-01-15 20:20:24,hh,customer137,Mcdonald's - Walmart
31,Visa,2,Boon Keng,46.2,2020-01-15 20:34:45,2020-01-15 20:35:34,2020-01-15 20:37:53,2020-01-15 20:40:23,2020-01-15 20:45:05,hh,customer223,Handy's Lunch
32,Cash,4,Clementi,176.4,2020-01-15 20:29:46,2020-01-15 20:32:46,2020-01-15 20:36:51,2020-01-15 20:37:49,2020-01-15 20:38:38,ii,customer83,Back Yard Burgers
33,Visa,4,Dakota,128.4,2020-01-15 21:50:11,2020-01-15 21:51:16,2020-01-15 21:53:29,2020-01-15 21:56:27,2020-01-15 21:58:24,yyy,customer225,Jacks Grocery
34,Cash,5,Stevens,87.6,2020-01-15 21:08:14,2020-01-15 21:11:02,2020-01-15 21:14:02,2020-01-15 21:16:23,2020-01-15 21:21:10,m,customer117,Au Bon Pain
35,Mastercard,5,Tanah Merah,359.4,2020-01-15 21:38:19,2020-01-15 21:40:06,2020-01-15 21:44:36,2020-01-15 21:49:32,2020-01-15 21:51:04,ii,customer103,Papagus Gyros
36,Cash,5,Toh Guan,208.2,2020-01-15 21:56:47,2020-01-15 21:57:03,2020-01-15 22:0:54,2020-01-15 22:5:57,2020-01-15 22:8:58,hh,customer109,Papa John’s Pizza
37,Cash,3,Pasir Panjang,75.6,2020-01-15 21:21:50,2020-01-15 21:26:06,2020-01-15 21:30:51,2020-01-15 21:35:10,2020-01-15 21:37:54,hh,customer92,Los Verdes
38,Mastercard,3,Choa Chu Kang,64.8,2020-01-15 21:46:54,2020-01-15 21:47:45,2020-01-15 21:51:29,2020-01-15 21:52:40,2020-01-15 21:54:32,uuu,customer285,Rancher's Roast Beef Inc.
39,Visa,1,Jurong Town Hall,289.2,2020-01-16 16:06:00,2020-01-16 16:8:30,2020-01-16 16:12:56,2020-01-16 16:17:12,2020-01-16 16:22:39,yyy,customer62,White Manna Hamburgers
40,Visa,2,Promenade,43.2,2020-01-16 16:04:06,2020-01-16 16:7:23,2020-01-16 16:8:14,2020-01-16 16:9:17,2020-01-16 16:10:26,hh,customer44,Osgood's
41,Cash,5,Riviera,181.8,2020-01-16 16:25:25,2020-01-16 16:28:54,2020-01-16 16:32:51,2020-01-16 16:35:55,2020-01-16 16:37:17,uuu,customer30,Pick Up Stix
42,Cash,4,Queenstown,169.2,2020-01-16 16:51:35,2020-01-16 16:55:50,2020-01-16 17:0:04,2020-01-16 17:2:18,2020-01-16 17:4:29,hh,customer115,Vista Drive In
43,Mastercard,4,Potong Pasir,165.6,2020-01-16 16:45:36,2020-01-16 16:46:39,2020-01-16 16:47:33,2020-01-16 16:49:54,2020-01-16 16:53:52,hh,customer293,name
44,Mastercard,4,Chinatown,114.6,2020-01-16 16:57:41,2020-01-16 16:59:20,2020-01-16 17:4:09,2020-01-16 17:7:55,2020-01-16 17:11:29,aaaa,customer34,Luby's
45,Mastercard,5,Bayshore,180.0,2020-01-16 17:49:07,2020-01-16 17:54:47,2020-01-16 17:58:39,2020-01-16 18:0:12,2020-01-16 18:4:21,vvv,customer79,Sonic
46,Mastercard,2,Sixth Avenue,91.8,2020-01-16 17:25:22,2020-01-16 17:30:14,2020-01-16 17:34:20,2020-01-16 17:36:02,2020-01-16 17:39:18,hh,customer126,Eagan's Drive-In
47,Cash,4,Orchard Boulevard,129.0,2020-01-16 17:04:22,2020-01-16 17:9:56,2020-01-16 17:11:13,2020-01-16 17:16:06,2020-01-16 17:21:20,ii,customer106,Lee's Oriental Martial Arts
48,Visa,5,Kangkar,222.0,2020-01-16 17:57:27,2020-01-16 17:59:00,2020-01-16 18:2:33,2020-01-16 18:3:15,2020-01-16 18:8:52,ii,customer297,Tudor's Biscuit World
49,Mastercard,5,Pasir Panjang,139.2,2020-01-16 17:39:30,2020-01-16 17:42:03,2020-01-16 17:46:21,2020-01-16 17:51:16,2020-01-16 17:54:26,hh,customer279,Taco Cabana
50,Visa,4,Tampines East,150.0,2020-01-16 17:18:38,2020-01-16 17:20:22,2020-01-16 17:21:28,2020-01-16 17:26:00,2020-01-16 17:27:53,hh,customer134,Skyline Chili
51,Visa,2,Chinatown,154.8,2020-01-16 17:27:39,2020-01-16 17:32:11,2020-01-16 17:33:56,2020-01-16 17:34:01,2020-01-16 17:39:36,vvv,customer278,Omega Drive-In
52,Visa,5,Fort Canning,231.0,2020-01-16 17:17:40,2020-01-16 17:20:39,2020-01-16 17:22:00,2020-01-16 17:26:49,2020-01-16 17:31:31,zzz,customer101,Wings And Philly
53,Visa,3,Expo,245.4,2020-01-16 17:50:53,2020-01-16 17:53:21,2020-01-16 17:57:19,2020-01-16 18:1:48,2020-01-16 18:6:47,uuu,customer238,Don & Millie's
54,Visa,1,CCL EXTENSION,204.6,2020-01-16 17:57:55,2020-01-16 18:1:28,2020-01-16 18:4:58,2020-01-16 18:7:29,2020-01-16 18:8:37,bbbb,customer110,Nielsen's Frozen Custard
55,Cash,5,Buona Vista,55.2,2020-01-16 17:16:56,2020-01-16 17:17:39,2020-01-16 17:21:28,2020-01-16 17:24:49,2020-01-16 17:29:40,aaaa,customer251,Chick-fil-a Magnolia Mall
56,Mastercard,5,Mountbatten,63.6,2020-01-16 18:01:04,2020-01-16 18:5:23,2020-01-16 18:6:03,2020-01-16 18:11:33,2020-01-16 18:15:42,hh,customer54,China King
57,Visa,3,Sungei Bedok,122.4,2020-01-16 18:04:04,2020-01-16 18:6:09,2020-01-16 18:7:44,2020-01-16 18:8:08,2020-01-16 18:9:51,ii,customer263,Steak N Shake
58,Visa,5,Pasir Ris,114.0,2020-01-16 18:04:11,2020-01-16 18:7:11,2020-01-16 18:8:09,2020-01-16 18:9:37,2020-01-16 18:10:48,hh,customer22,Skyline Chili
59,Cash,2,CG,195.6,2020-01-16 18:03:11,2020-01-16 18:6:27,2020-01-16 18:8:54,2020-01-16 18:12:24,2020-01-16 18:16:46,bbbb,customer5,Braum's Ice Cream & Dairy Store
60,Visa,3,Bayfront,61.2,2020-01-16 18:49:14,2020-01-16 18:51:07,2020-01-16 18:52:34,2020-01-16 18:57:20,2020-01-16 19:1:25,ii,customer238,Charkies
61,Visa,2,Botanic Gardens,109.8,2020-01-16 18:05:27,2020-01-16 18:9:02,2020-01-16 18:10:41,2020-01-16 18:11:15,2020-01-16 18:12:06,hh,customer21,Rally's
62,Mastercard,5,Tongkang,81.0,2020-01-16 18:48:41,2020-01-16 18:52:22,2020-01-16 18:55:11,2020-01-16 18:58:27,2020-01-16 19:1:33,hh,customer34,Yum Brands Inc
63,Visa,2,WEST LOOP,340.8,2020-01-16 18:51:51,2020-01-16 18:55:41,2020-01-16 19:0:34,2020-01-16 19:3:27,2020-01-16 19:6:41,ii,customer13,Subway Citgo of Quarryville
64,Cash,2,Tuas Crescent,165.0,2020-01-16 19:09:03,2020-01-16 19:12:05,2020-01-16 19:13:17,2020-01-16 19:16:02,2020-01-16 19:21:24,uuu,customer288,Costa Vida Fresh Mexican Grill
65,Mastercard,5,Jurong Hill,148.8,2020-01-16 19:04:08,2020-01-16 19:7:35,2020-01-16 19:9:00,2020-01-16 19:12:40,2020-01-16 19:17:35,hh,customer116,Garden Catering
66,Visa,4,Upper Changi,108.6,2020-01-16 19:15:11,2020-01-16 19:20:43,2020-01-16 19:21:02,2020-01-16 19:22:52,2020-01-16 19:25:18,zzz,customer91,OMG! Rotisserie
67,Visa,3,FOUNDERS' MEMORIAL,165.0,2020-01-16 19:06:30,2020-01-16 19:11:12,2020-01-16 19:16:23,2020-01-16 19:17:21,2020-01-16 19:18:59,hh,customer180,Ll Hawaiian Barbecue
68,Visa,1,Nibong,13.8,2020-01-16 19:48:42,2020-01-16 19:50:48,2020-01-16 19:51:10,2020-01-16 19:56:07,2020-01-16 19:58:55,aaaa,customer234,A&W All American Food
69,Cash,5,Peng Kang Hill,204.0,2020-01-16 19:24:56,2020-01-16 19:26:23,2020-01-16 19:30:42,2020-01-16 19:32:13,2020-01-16 19:33:43,hh,customer151,Breadeaux Pizza
70,Cash,3,Toa Payoh,61.2,2020-01-16 20:59:23,2020-01-16 21:0:11,2020-01-16 21:4:33,2020-01-16 21:5:24,2020-01-16 21:8:37,ii,customer4,P. Terry's
71,Visa,1,Outram Park,219.0,2020-01-16 20:20:34,2020-01-16 20:23:59,2020-01-16 20:28:50,2020-01-16 20:32:44,2020-01-16 20:35:45,zzz,customer192,Quick
72,Visa,1,Sungei Bedok,117.0,2020-01-16 21:04:02,2020-01-16 21:9:09,2020-01-16 21:11:49,2020-01-16 21:13:17,2020-01-16 21:14:01,hh,customer234,Braum's
73,Visa,3,Marine Terrace,97.8,2020-01-16 21:43:15,2020-01-16 21:46:31,2020-01-16 21:49:43,2020-01-16 21:50:12,2020-01-16 21:54:21,ii,customer296,White Castle
75,Visa,3,Hume,70.2,2020-01-16 21:10:19,2020-01-16 21:11:58,2020-01-16 21:14:20,2020-01-16 21:19:27,2020-01-16 21:24:44,ii,customer155,Flash Foods / McDonald's
76,Cash,3,one-north,52.2,2020-01-16 21:41:21,2020-01-16 21:43:33,2020-01-16 21:48:44,2020-01-16 21:52:26,2020-01-16 21:57:49,xxx,customer63,TacoTime
77,Mastercard,5,Stadium,52.2,2020-01-16 21:22:23,2020-01-16 21:26:00,2020-01-16 21:31:36,2020-01-16 21:33:08,2020-01-16 21:37:56,uuu,customer187,Hometown Buffet
78,Mastercard,4,Siglap,174.6,2020-01-16 21:58:23,2020-01-16 22:2:39,2020-01-16 22:3:24,2020-01-16 22:4:53,2020-01-16 22:5:52,xxx,customer70,Blake's Lotaburger
79,Mastercard,2,Thanggam,232.2,2020-01-16 21:47:32,2020-01-16 21:48:50,2020-01-16 21:50:07,2020-01-16 21:51:22,2020-01-16 21:54:45,aaaa,customer37,OMG! Rotisserie
80,Cash,2,Commonwealth,132.0,2020-01-16 21:18:51,2020-01-16 21:22:53,2020-01-16 21:25:14,2020-01-16 21:26:36,2020-01-16 21:29:28,ii,customer177,Milo's Hamburgers
81,Cash,4,Marina South,93.6,2020-01-16 21:08:54,2020-01-16 21:9:42,2020-01-16 21:14:00,2020-01-16 21:16:26,2020-01-16 21:17:02,aaaa,customer276,Kentucky Fried Chicken
82,Mastercard,5,Dakota,108.6,2020-01-17 16:38:13,2020-01-17 16:39:35,2020-01-17 16:40:17,2020-01-17 16:45:17,2020-01-17 16:49:21,hh,customer34,McLaren's Pantry
83,Cash,3,Xilin,85.2,2020-01-17 16:12:14,2020-01-17 16:13:41,2020-01-17 16:16:41,2020-01-17 16:21:26,2020-01-17 16:25:59,m,customer185,Arbys
84,Cash,5,Keat Hong,116.4,2020-01-17 16:22:22,2020-01-17 16:25:59,2020-01-17 16:26:38,2020-01-17 16:30:15,2020-01-17 16:33:23,aaaa,customer271,White Castle
85,Mastercard,5,Commonwealth,196.2,2020-01-17 16:02:25,2020-01-17 16:6:52,2020-01-17 16:7:44,2020-01-17 16:11:00,2020-01-17 16:16:22,ii,customer130,Mazatlan Mexican Restaurant
86,Visa,3,Teck Lee,78.6,2020-01-17 16:33:26,2020-01-17 16:36:20,2020-01-17 16:41:02,2020-01-17 16:45:59,2020-01-17 16:49:17,ii,customer296,Pollo Tropical
87,Visa,4,Promenade,88.8,2020-01-17 16:36:35,2020-01-17 16:38:26,2020-01-17 16:40:04,2020-01-17 16:42:58,2020-01-17 16:43:53,bbbb,customer180,Crown Fried Chicken
88,Cash,3,Senja,105.6,2020-01-17 16:51:58,2020-01-17 16:56:51,2020-01-17 17:0:39,2020-01-17 17:2:08,2020-01-17 17:7:16,hh,customer218,Mcalister's Deli
89,Cash,2,Sengkang,153.0,2020-01-17 17:18:19,2020-01-17 17:22:43,2020-01-17 17:27:59,2020-01-17 17:31:32,2020-01-17 17:34:15,xxx,customer185,Moe's Southwest Grill
90,Mastercard,4,Phoenix,171.6,2020-01-17 17:49:27,2020-01-17 17:51:30,2020-01-17 17:52:09,2020-01-17 17:57:19,2020-01-17 18:2:17,hh,customer267,Runza
91,Visa,2,Siglap,73.8,2020-01-17 17:27:35,2020-01-17 17:30:31,2020-01-17 17:33:01,2020-01-17 17:36:15,2020-01-17 17:38:04,uuu,customer94,Northeastern State University
92,Mastercard,1,Tengah Plantation,35.4,2020-01-17 17:00:39,2020-01-17 17:5:45,2020-01-17 17:8:16,2020-01-17 17:9:24,2020-01-17 17:10:42,ii,customer54,Steak 'n Shake
93,Mastercard,4,Tuas West Road,58.8,2020-01-17 17:20:43,2020-01-17 17:23:02,2020-01-17 17:24:30,2020-01-17 17:27:04,2020-01-17 17:30:49,ii,customer158,Moe's Southwest Grill
94,Cash,4,Ang Mo Kio,142.8,2020-01-17 17:20:51,2020-01-17 17:23:16,2020-01-17 17:26:35,2020-01-17 17:30:14,2020-01-17 17:33:53,ii,customer224,Dewey's Pizza
95,Visa,1,Kallang,60.0,2020-01-17 18:22:14,2020-01-17 18:26:44,2020-01-17 18:28:52,2020-01-17 18:33:46,2020-01-17 18:34:59,vvv,customer69,Qdoba Mexican Eats
96,Visa,1,Downtown,138.6,2020-01-17 18:34:24,2020-01-17 18:38:08,2020-01-17 18:42:41,2020-01-17 18:43:46,2020-01-17 18:48:52,ii,customer249,Blimpie Subs & Sandwiches
97,Mastercard,3,Lakeside,61.2,2020-01-17 18:25:26,2020-01-17 18:27:22,2020-01-17 18:29:31,2020-01-17 18:32:46,2020-01-17 18:33:19,hh,customer67,Subway
98,Visa,1,Layar,91.8,2020-01-17 18:50:26,2020-01-17 18:53:09,2020-01-17 18:57:40,2020-01-17 19:1:39,2020-01-17 19:2:17,ii,customer254,Isabella's Pizzeria
99,Cash,1,Founders' Memorial,288.0,2020-01-17 18:02:26,2020-01-17 18:4:14,2020-01-17 18:9:44,2020-01-17 18:13:55,2020-01-17 18:14:34,yyy,customer71,Bush's Chicken
100,Mastercard,5,Gul Circle,218.4,2020-01-17 18:17:30,2020-01-17 18:20:24,2020-01-17 18:22:17,2020-01-17 18:24:04,2020-01-17 18:29:09,ii,customer176,Don & Millie's
101,Mastercard,2,Cheng Lim,173.4,2020-01-17 18:41:53,2020-01-17 18:46:41,2020-01-17 18:49:17,2020-01-17 18:50:10,2020-01-17 18:52:18,hh,customer124,Good Times Burgers & Frozen Custard
102,Mastercard,3,Tampines,415.2,2020-01-17 18:45:56,2020-01-17 18:49:21,2020-01-17 18:51:04,2020-01-17 18:56:46,2020-01-17 18:57:39,aaaa,customer14,Carl's Jr
103,Cash,2,Tampines East,98.4,2020-01-17 19:52:01,2020-01-17 19:57:50,2020-01-17 20:2:45,2020-01-17 20:3:52,2020-01-17 20:6:41,ii,customer264,Windmill Gourmet Fast Foods
104,Cash,5,Sembawang,162.6,2020-01-17 19:57:23,2020-01-17 20:0:01,2020-01-17 20:1:34,2020-01-17 20:2:47,2020-01-17 20:5:01,hh,customer206,Mariu Kebabberia Gastronomica
105,Cash,2,Cove,187.2,2020-01-17 19:10:31,2020-01-17 19:14:51,2020-01-17 19:15:50,2020-01-17 19:20:45,2020-01-17 19:24:45,vvv,customer143,The Chicken Place
106,Cash,4,Paya Lebar,226.8,2020-01-17 19:36:37,2020-01-17 19:40:26,2020-01-17 19:44:20,2020-01-17 19:48:28,2020-01-17 19:50:30,xxx,customer290,King Grill
107,Mastercard,3,Punggol Coast,43.2,2020-01-17 19:17:37,2020-01-17 19:22:30,2020-01-17 19:26:23,2020-01-17 19:31:32,2020-01-17 19:36:49,www,customer182,KFC / A&W
108,Visa,4,Cheng Lim,94.8,2020-01-17 19:49:52,2020-01-17 19:50:45,2020-01-17 19:54:51,2020-01-17 19:56:51,2020-01-17 19:59:48,bbbb,customer134,Mazatlan Mexican Restaurant
109,Mastercard,5,Woodleigh,122.4,2020-01-17 20:58:08,2020-01-17 20:59:47,2020-01-17 21:0:45,2020-01-17 21:1:06,2020-01-17 21:2:17,ii,customer231,Ryan's
110,Mastercard,3,Pioneer,49.8,2020-01-17 20:23:15,2020-01-17 20:26:08,2020-01-17 20:30:00,2020-01-17 20:32:07,2020-01-17 20:33:54,ii,customer133,Chuck Wagon
111,Mastercard,4,Mount Pleasant,293.4,2020-01-17 20:38:27,2020-01-17 20:39:50,2020-01-17 20:43:08,2020-01-17 20:44:34,2020-01-17 20:48:59,ii,customer130,Carl's / Green Burrito
112,Visa,3,Telok Ayer,93.0,2020-01-17 20:44:34,2020-01-17 20:47:35,2020-01-17 20:48:29,2020-01-17 20:49:04,2020-01-17 20:50:28,hh,customer287,Furr's
113,Mastercard,3,Bishan,193.2,2020-01-17 20:13:50,2020-01-17 20:17:33,2020-01-17 20:18:08,2020-01-17 20:21:52,2020-01-17 20:23:55,vvv,customer282,KFC
114,Cash,1,Commonwealth,45.6,2020-01-17 21:47:00,2020-01-17 21:49:23,2020-01-17 21:52:42,2020-01-17 21:56:00,2020-01-17 21:59:14,m,customer6,Chick-fil-a Magnolia Mall
115,Cash,2,Woodlands South,52.8,2020-01-17 21:56:14,2020-01-17 21:58:58,2020-01-17 22:3:04,2020-01-17 22:4:12,2020-01-17 22:8:37,hh,customer4,DQ Woodlands
116,Visa,5,Bugis,177.6,2020-01-17 21:57:15,2020-01-17 21:59:03,2020-01-17 22:1:46,2020-01-17 22:4:37,2020-01-17 22:7:41,ii,customer168,Port of Subs
117,Mastercard,5,Bayfront,88.2,2020-01-17 21:26:43,2020-01-17 21:30:47,2020-01-17 21:33:52,2020-01-17 21:36:00,2020-01-17 21:38:33,vvv,customer196,Bob Evans
118,Cash,2,Toh Guan,76.8,2020-01-18 16:37:06,2020-01-18 16:38:47,2020-01-18 16:39:31,2020-01-18 16:41:03,2020-01-18 16:46:03,aaaa,customer109,Charley's Grilled Subs
119,Cash,3,FOUNDERS' MEMORIAL,87.6,2020-01-18 16:22:34,2020-01-18 16:23:55,2020-01-18 16:25:02,2020-01-18 16:30:17,2020-01-18 16:33:06,ii,customer137,Seaside Eatery
120,Cash,2,EXTENSION,181.2,2020-01-18 16:49:35,2020-01-18 16:53:06,2020-01-18 16:57:43,2020-01-18 17:1:47,2020-01-18 17:6:37,bbbb,customer261,Einstein Bros Bagels
121,Cash,5,Tuas Crescent,265.8,2020-01-18 16:25:38,2020-01-18 16:28:04,2020-01-18 16:33:19,2020-01-18 16:38:47,2020-01-18 16:40:43,xxx,customer280,Braum's Ice Cream & Dairy Store
122,Mastercard,3,Yishun,200.4,2020-01-18 16:18:58,2020-01-18 16:21:25,2020-01-18 16:23:35,2020-01-18 16:28:23,2020-01-18 16:30:59,xxx,customer277,Quiznos
123,Visa,2,EXTENSION,92.4,2020-01-18 17:23:30,2020-01-18 17:24:52,2020-01-18 17:28:26,2020-01-18 17:33:39,2020-01-18 17:38:25,ii,customer180,D'Angelo Grilled Sandwiches
124,Visa,3,Nanyang Crescent,86.4,2020-01-18 17:37:31,2020-01-18 17:39:38,2020-01-18 17:42:02,2020-01-18 17:47:53,2020-01-18 17:49:48,ii,customer186,Taco del Mar
125,Mastercard,4,Tongkang,81.6,2020-01-18 17:56:45,2020-01-18 18:0:26,2020-01-18 18:1:24,2020-01-18 18:3:06,2020-01-18 18:8:40,hh,customer193,Hardees
126,Visa,5,Kranji,102.0,2020-01-18 17:59:52,2020-01-18 18:3:57,2020-01-18 18:5:50,2020-01-18 18:9:04,2020-01-18 18:10:05,hh,customer12,Arby's
127,Visa,3,Mattar,157.8,2020-01-18 18:39:26,2020-01-18 18:44:58,2020-01-18 18:48:22,2020-01-18 18:49:32,2020-01-18 18:52:32,ii,customer244,A&w Restaurant
128,Visa,1,Mayﬂower,51.0,2020-01-18 18:43:28,2020-01-18 18:45:50,2020-01-18 18:47:43,2020-01-18 18:50:21,2020-01-18 18:55:29,hh,customer200,Wingstop
129,Cash,5,Toh Guan,115.2,2020-01-18 18:24:29,2020-01-18 18:28:18,2020-01-18 18:31:26,2020-01-18 18:32:29,2020-01-18 18:36:27,zzz,customer153,Iceberg Drive Inn
130,Mastercard,5,Geylang Bahru,16.2,2020-01-18 19:48:24,2020-01-18 19:52:13,2020-01-18 19:56:56,2020-01-18 20:0:38,2020-01-18 20:1:26,vvv,customer211,Kasa's Pizza
131,Cash,3,Bartley,88.2,2020-01-18 19:44:25,2020-01-18 19:46:55,2020-01-18 19:48:05,2020-01-18 19:49:55,2020-01-18 19:50:37,uuu,customer65,Dunkin Donuts
132,Visa,2,Kembangan,158.4,2020-01-18 19:20:33,2020-01-18 19:21:56,2020-01-18 19:24:35,2020-01-18 19:28:26,2020-01-18 19:29:26,hh,customer112,Chuck Wagon
133,Cash,2,Marina South,82.8,2020-01-18 19:46:41,2020-01-18 19:49:45,2020-01-18 19:54:35,2020-01-18 19:59:22,2020-01-18 20:1:04,hh,customer204,Tina's Carryout Restaurant
134,Visa,1,Layar,158.4,2020-01-18 19:13:51,2020-01-18 19:16:36,2020-01-18 19:20:35,2020-01-18 19:21:41,2020-01-18 19:23:15,ii,customer160,The Pita Pit
135,Visa,5,Choa Chu Kang West,162.6,2020-01-18 20:16:05,2020-01-18 20:19:00,2020-01-18 20:23:17,2020-01-18 20:26:27,2020-01-18 20:31:16,ii,customer86,Checker's
136,Cash,3,Coral Edge,66.0,2020-01-18 20:23:23,2020-01-18 20:26:31,2020-01-18 20:29:25,2020-01-18 20:33:38,2020-01-18 20:35:26,ii,customer145,Strongwater Spirits & Botanicals
