quantity,review,fname,orderid
8,Ramyeon is instantly pushy,Ramyeon,15
15,Bak kut teh is arrogantly vast,Bak kut teh,15
21,Boiled vegetable soup is thoughtfully drunk,Boiled vegetable soup,16
4,Goi cuon is more bumpy,Goi cuon,16
10,Tom yum goong is kookily spiteful,Tom yum goong,16
19,Fish kidney curry is less spiteful,Fish kidney curry,16
25,Apple pie is tensely languid,Apple pie,16
21,Stir fried tofu with rice is speedily well-to-do,Stir fried tofu with rice,16
5,Ga tan is healthily descriptive,Ga tan,16
21,Bottarga is willfully orange,Bottarga,16
3,Tofu is wholly resolute,Tofu,17
28,Rawon is meaningfully repulsive,Rawon,17
6,Apple pie is shyly fixed,Apple pie,17
29,Spaghetti Aglio Olio is briefly gaping,Spaghetti Aglio Olio,17
5,Spring rolls is fairly unarmed,Spring rolls,17
17,Spicy stir fried octopus is delightfully cheap,Spicy stir fried octopus,17
13,Polenta is blissfully rustic,Polenta,17
4,Nem ran is gratefully unique,Nem ran,17
10,Yakitori is keenly milky,Yakitori,18
8,Sate is fervently imperfect,Sate,18
2,Tostadas is coolly willing,Tostadas,18
3,Chicken tikka masala is successfully synonymous,Chicken tikka masala,19
7,Ga tan is upside-down unbecoming,Ga tan,19
5,Fish stew is sympathetically colossal,Fish stew,19
4,Papdi chaat is lovingly innate,Papdi chaat,19
10,Bottarga is quirkily bumpy,Bottarga,20
3,Spicy stir fried octopus is yesterday slim,Spicy stir fried octopus,20
15,Chicken with chestnuts is rudely damaging,Chicken with chestnuts,20
4,Chiles en nogada is swiftly innate,Chiles en nogada,21
6,Hot and sour soup is delightfully attractive,Hot and sour soup,21
29,Fish stew is needily abashed,Fish stew,21
14,Chole is however equable,Chole,21
22,Goi cuon is tenderly natural,Goi cuon,22
10,Ga tan is elsewhere blue-eyed,Ga tan,22
9,Tom yum goong is then daffy,Tom yum goong,22
7,Risotto is frankly spiffy,Risotto,22
9,Sundubu jjigae is daintily gigantic,Sundubu jjigae,22
15,Elote is neatly courageous,Elote,22
6,Murg makhani is kindheartedly berserk,Murg makhani,22
7,Bak chor mee is healthily grateful,Bak chor mee,22
16,Wanton mee is cleverly grateful,Wanton mee,22
20,Green curry chicken is freely friendly,Green curry chicken,22
18,Chicken tikka masala is overconfidently somber,Chicken tikka masala,23
18,Soto is easily rigid,Soto,23
20,Doughnut is zestfully obsequious,Doughnut,23
6,Kaya toast is upside-down blue-eyed,Kaya toast,23
19,Korma is tightly ragged,Korma,24
10,Cheeseburger is helpfully smiling,Cheeseburger,24
13,Kimchi is wisely logical,Kimchi,24
10,Enchiladas is ultimately wide,Enchiladas,24
29,Fried chicken is majestically oval,Fried chicken,24
8,Thai hanglay curry is kindly colorful,Thai hanglay curry,25
7,Pork bulgogi is only makeshift,Pork bulgogi,25
21,Fish stew is quaintly black,Fish stew,25
8,Ribollita is primarily well-to-do,Ribollita,25
20,Spaghetti Carbonara is inwardly spiky,Spaghetti Carbonara,25
21,Paratha is fervently sorry,Paratha,25
7,Pozole is vacantly dramatic,Pozole,25
8,Samgyeopsal is utterly basic,Samgyeopsal,26
7,Banh khot is thankfully serious,Banh khot,26
28,Natto is especially abashed,Natto,26
13,Beef rendang is normally substantial,Beef rendang,26
4,Chilaquiles is unethically somber,Chilaquiles,26
17,Thai hanglay curry is upbeat classy,Thai hanglay curry,26
3,Chocolate chip cookie is originally hysterical,Chocolate chip cookie,26
5,Tamales is wonderfully resonant,Tamales,27
4,Cha ca is immediately plant,Cha ca,27
10,Vegetable fried rice is early pushy,Vegetable fried rice,27
27,Elote is nicely robust,Elote,27
17,Banh xeo is valiantly gentle,Banh xeo,27
4,Chiles en nogada is politely zesty,Chiles en nogada,27
11,Pizza is smoothly synonymous,Pizza,28
4,Chicken tikka masala is usually basic,Chicken tikka masala,28
13,Noodles is restfully wretched,Noodles,28
9,Murg makhani is mortally grubby,Murg makhani,28
21,Chocolate chip cookie is awkwardly fertile,Chocolate chip cookie,28
8,Banh xeo is owlishly synonymous,Banh xeo,28
6,Beef soup is valiantly substantial,Beef soup,28
4,Cheeseburger is carefully small,Cheeseburger,28
8,Gado gado is joshingly lyrical,Gado gado,29
21,Ga tan is wisely psychedelic,Ga tan,29
6,Polenta is sedately purple,Polenta,29
4,Sichuan pork is quarrelsomely decent,Sichuan pork,29
13,Udon is completely colossal,Udon,29
7,Rawon is carefully pink,Rawon,29
4,Fried carrot cake is weakly federal,Fried carrot cake,29
19,Spaghetti Bolognese is viciously dependent,Spaghetti Bolognese,29
4,Fried chicken is evenly noiseless,Fried chicken,29
3,Udon is hopelessly spotted,Udon,30
12,Ayam goreng is politely comprehensive,Ayam goreng,30
11,Fried carrot cake is quaintly shrill,Fried carrot cake,30
4,Sushi is needily cloudy,Sushi,30
19,Guacamole is owlishly logical,Guacamole,30
28,Isaan soup is upright shaky,Isaan soup,30
28,Tandoori chicken is altogether makeshift,Tandoori chicken,30
6,Bibimbap is unnecessarily pink,Bibimbap,30
11,Rau muong is loftily wide,Rau muong,30
22,Sushi is only dreary,Sushi,31
28,Spaghetti Carbonara is hopelessly deep,Spaghetti Carbonara,31
18,Pizza is uselessly endurable,Pizza,31
11,Pork bulgogi is offensively frightened,Pork bulgogi,31
8,Oyster omelette is terribly wanting,Oyster omelette,31
6,Mole is deftly flippant,Mole,31
17,Rau muong is quicker decisive,Rau muong,31
7,Hokkien prawn mee is probably immediate,Hokkien prawn mee,32
14,Wanton mee is truly pushy,Wanton mee,32
3,Spaghetti Bolognese is madly ruddy,Spaghetti Bolognese,32
4,Pork bulgogi is anyway meek,Pork bulgogi,33
10,Doughnut is restfully unsightly,Doughnut,33
7,Banh xeo is tenderly willing,Banh xeo,33
4,Chicken wings is lovingly languid,Chicken wings,33
8,Nasi goreng is relatively noiseless,Nasi goreng,34
1,Hot and sour soup is fairly ragged,Hot and sour soup,34
20,Chocolate chip cookie is happily acceptable,Chocolate chip cookie,34
18,Bibimbap is bravely annoying,Bibimbap,34
11,Rau muong is widely glamorous,Rau muong,34
3,Pork bulgogi is slightly dependent,Pork bulgogi,34
11,Beef soup is zestfully dynamic,Beef soup,35
7,Steak is weakly traditional,Steak,35
11,Cao lau is obediently wide-eyed,Cao lau,35
3,Sate is wonderfully consistent,Sate,35
14,Chole is almost skillful,Chole,35
4,Tamales is especially troubled,Tamales,35
29,Spaghetti Carbonara is utterly attractive,Spaghetti Carbonara,36
16,Hash browns is already sturdy,Hash browns,36
10,Fish kidney curry is gratefully quick,Fish kidney curry,36
22,Chole is effectively absorbed,Chole,36
10,Chicken rice is fondly willing,Chicken rice,36
15,Pizza is solemnly weak,Pizza,36
3,Vegetable fried rice is even confident,Vegetable fried rice,36
25,Pho is tightly oval,Pho,36
6,Dim sum is cautiously changeable,Dim sum,36
6,Fish stew is strongly basic,Fish stew,36
5,Banh khot is widely intelligent,Banh khot,36
2,Cheeseburger is fully dreary,Cheeseburger,36
2,Chicken galangal soup is rather temporary,Chicken galangal soup,37
6,Nem ran is limply assorted,Nem ran,37
7,Spring rolls is woefully painful,Spring rolls,37
13,Ribollita is actually adventurous,Ribollita,37
22,Kimchi is tomorrow colorful,Kimchi,37
10,Fish stew is sadly confident,Fish stew,37
11,Cha ca is virtually spiffy,Cha ca,37
5,Bak kut teh is questionably ashamed,Bak kut teh,37
5,Donburi is restfully instinctive,Donburi,38
19,Noodles is repeatedly beneficial,Noodles,38
8,Pozole is youthfully willing,Pozole,38
2,Tom yum goong is often attractive,Tom yum goong,38
9,Kaya toast is officially somber,Kaya toast,38
7,Dim sum is valiantly colorful,Dim sum,38
3,Lasagna is deliberately gusty,Lasagna,38
12,Cantonese chicken soup is famously flippant,Cantonese chicken soup,39
16,Spaghetti Carbonara is weekly disgusted,Spaghetti Carbonara,39
17,Ayam goreng is wrongly fine,Ayam goreng,39
14,Banh khot is quarrelsomely painful,Banh khot,39
18,Spaghetti Aglio Olio is more embarrassed,Spaghetti Aglio Olio,39
5,Tofu is nearly well-to-do,Tofu,39
17,Sundubu jjigae is powerfully clean,Sundubu jjigae,39
14,Stir fried tofu with rice is coaxingly embarrassed,Stir fried tofu with rice,40
17,Chicken tikka masala is boastfully decent,Chicken tikka masala,40
12,Donburi is basically secretive,Donburi,40
8,Curry fish head is unimpressively rampant,Curry fish head,40
9,Bhajji is effectively confident,Bhajji,40
25,Chiles en nogada is vastly educated,Chiles en nogada,41
11,Enchiladas is jovially well-to-do,Enchiladas,41
23,Chicken wings is interestingly decent,Chicken wings,41
8,Boiled vegetable soup is more gusty,Boiled vegetable soup,41
6,Hash browns is equally traditional,Hash browns,41
7,Apple pie is briefly inconclusive,Apple pie,41
2,Cha ca is suddenly like,Cha ca,42
18,Ayam goreng is coolly jumpy,Ayam goreng,42
6,Bottarga is verbally meaty,Bottarga,42
18,Hash browns is energetically friendly,Hash browns,42
1,Donburi is bleakly bizarre,Donburi,42
7,Noodles is cleverly grateful,Noodles,42
10,Sundubu jjigae is instantly quick,Sundubu jjigae,42
5,Sour soup is not quick,Sour soup,42
10,Spaghetti Aglio Olio is unabashedly quiet,Spaghetti Aglio Olio,42
27,Sichuan pork is quarrelsomely equable,Sichuan pork,43
15,Samgyeopsal is blindly kind,Samgyeopsal,43
14,Gogigui is completely wicked,Gogigui,43
19,Tostadas is commonly colossal,Tostadas,44
19,Chicken rice is basically vacuous,Chicken rice,44
19,Bak kut teh is meaningfully attractive,Bak kut teh,44
13,Curry fish head is tensely green,Curry fish head,45
10,Samgyeopsal is personally fresh,Samgyeopsal,45
4,Bak chor mee is rigidly innate,Bak chor mee,45
4,Chocolate chip cookie is too decent,Chocolate chip cookie,45
10,Spaghetti Bolognese is tediously troubled,Spaghetti Bolognese,45
19,Tacos al pastor is safely kind,Tacos al pastor,45
12,Korma is unfortunately assorted,Korma,45
9,Banh xeo is mortally like,Banh xeo,46
7,Kaya toast is dreamily powerful,Kaya toast,46
8,Soto is probably rich,Soto,46
10,Banh khot is viciously milky,Banh khot,46
4,Coconut milk curry is also additional,Coconut milk curry,46
9,Isaan soup is extremely courageous,Isaan soup,46
11,Nasi goreng is ultimately unsightly,Nasi goreng,46
17,Isaan soup is probably nonchalant,Isaan soup,47
7,Hokkien prawn mee is helpfully quiet,Hokkien prawn mee,47
19,Gado gado is actually loutish,Gado gado,47
5,Bak chor mee is slightly consistent,Bak chor mee,48
10,Noodles is properly aquatic,Noodles,48
1,Sundubu jjigae is owlishly certain,Sundubu jjigae,48
2,Hot and sour soup is normally disillusioned,Hot and sour soup,48
23,Bakso is rather eastern,Bakso,48
21,Korma is vacantly itchy,Korma,48
12,Donburi is weakly tight,Donburi,48
13,Hash browns is greedily embarrassed,Hash browns,49
14,Kaya toast is queerly best,Kaya toast,49
4,Spring rolls is triumphantly psychedelic,Spring rolls,49
21,Spaghetti Bolognese is mysteriously soggy,Spaghetti Bolognese,49
25,Goi cuon is warmly wicked,Goi cuon,49
11,Papdi chaat is relatively dull,Papdi chaat,49
8,Chicken with chestnuts is fast confident,Chicken with chestnuts,49
25,Cheeseburger is unfortunately fast,Cheeseburger,49
6,Macaroni and Cheese is violently painful,Macaroni and Cheese,49
4,Risotto is tightly wide,Risotto,50
10,Szechwan chilli chicken is mysteriously clean,Szechwan chilli chicken,50
6,Udon is soon decent,Udon,50
18,Boiled vegetable soup is angrily various,Boiled vegetable soup,50
8,Sushi is abnormally quick,Sushi,50
17,Chilaquiles is physically disgusted,Chilaquiles,50
22,Sate is mockingly lame,Sate,50
2,Ayam goreng is speedily mean,Ayam goreng,50
5,Soto is righteously quiet,Soto,51
9,Tempura is similarly meaty,Tempura,51
15,Spicy stir fried octopus is literally fertile,Spicy stir fried octopus,51
9,Noodles is youthfully substantial,Noodles,51
22,Bak kut teh is necessarily dangerous,Bak kut teh,51
11,Ga tan is owlishly federal,Ga tan,51
10,Fried carrot cake is reproachfully mountainous,Fried carrot cake,51
4,Steak is youthfully sturdy,Steak,52
16,Spaghetti Carbonara is potentially spiffy,Spaghetti Carbonara,52
6,Cantonese chicken soup is successfully delicious,Cantonese chicken soup,52
9,Bak kut teh is nearly acoustic,Bak kut teh,52
7,Isaan soup is necessarily frightened,Isaan soup,52
8,Goi cuon is carefully disgusted,Goi cuon,52
8,Chole is forth true,Chole,52
19,Ayam penyet is wonderfully logical,Ayam penyet,52
5,Chicken with chestnuts is absentmindedly clean,Chicken with chestnuts,52
30,Noodles is knavishly substantial,Noodles,53
6,Fish stew is yieldingly serious,Fish stew,53
4,Yakitori is sedately milky,Yakitori,53
6,Rau muong is tightly unsightly,Rau muong,54
13,Chole is fortunately resonant,Chole,54
1,Pozole is ever kaput,Pozole,54
2,Murg makhani is vivaciously curved,Murg makhani,54
9,Pork bulgogi is mortally obtainable,Pork bulgogi,54
2,Sichuan pork is unexpectedly vacuous,Sichuan pork,54
15,Rau muong is loudly delicious,Rau muong,55
3,Beef soup is ever elated,Beef soup,56
12,Ayam penyet is oddly sturdy,Ayam penyet,56
9,Chocolate chip cookie is unethically thirsty,Chocolate chip cookie,56
2,Paratha is knottily shrill,Paratha,56
10,Sichuan pork is cheerfully mixed,Sichuan pork,56
13,Chicken with chestnuts is vastly tangible,Chicken with chestnuts,56
6,Pizza is coaxingly savory,Pizza,56
33,Banh khot is hopelessly fine,Banh khot,56
4,Cha ca is frightfully shocking,Cha ca,56
6,Enchiladas is voluntarily nonchalant,Enchiladas,56
8,Hokkien prawn mee is greedily capricious,Hokkien prawn mee,56
9,Paratha is reproachfully free,Paratha,57
11,Laksa is even tan,Laksa,57
11,Korma is definitely dangerous,Korma,57
3,Coconut milk curry is worriedly gentle,Coconut milk curry,57
22,Cheeseburger is certainly tired,Cheeseburger,57
5,Kimchi is gleefully decent,Kimchi,57
13,Doughnut is quarrelsomely flowery,Doughnut,57
11,Chicken tikka masala is daily weak,Chicken tikka masala,57
21,Bhajji is wholly spiky,Bhajji,58
2,Hokkien prawn mee is thoughtfully traditional,Hokkien prawn mee,58
10,Ga tan is smoothly married,Ga tan,58
6,Pork bulgogi is reluctantly unruly,Pork bulgogi,58
24,Naan is rather thinkable,Naan,58
5,Isaan soup is blissfully overrated,Isaan soup,58
18,Ossobuco is also quiet,Ossobuco,58
12,Spaghetti Carbonara is vastly adjoining,Spaghetti Carbonara,58
20,Tom yum goong is slightly tender,Tom yum goong,58
6,Fried carrot cake is yawningly aquatic,Fried carrot cake,58
4,Spaghetti Aglio Olio is terribly synonymous,Spaghetti Aglio Olio,59
19,Ga tan is steadily tight,Ga tan,59
6,Rujak cingur is nervously decent,Rujak cingur,59
25,Palak paneer is noisily decent,Palak paneer,59
8,Beef rendang is already puzzled,Beef rendang,59
7,Bhajji is cautiously clean,Bhajji,59
11,Cha ca is foolishly sudden,Cha ca,59
4,Fried carrot cake is also freezing,Fried carrot cake,59
20,Rau muong is healthily somber,Rau muong,59
4,Bak chor mee is deliberately pushy,Bak chor mee,59
20,Chiles en nogada is enthusiastically standing,Chiles en nogada,60
22,Risotto is together synonymous,Risotto,60
20,Boiled vegetable soup is viciously unbecoming,Boiled vegetable soup,60
24,Sushi is terribly ugly,Sushi,60
18,Tamales is thus decent,Tamales,61
14,Ribollita is not dapper,Ribollita,61
24,Tom yum goong is recently colossal,Tom yum goong,61
14,Gado gado is quietly small,Gado gado,61
12,Tempura is regularly clean,Tempura,61
6,Boiled vegetable soup is originally hysterical,Boiled vegetable soup,62
16,Yakitori is scarcely hesitant,Yakitori,62
17,Soba is constantly absorbing,Soba,62
7,Bak chor mee is reassuringly roasted,Bak chor mee,62
22,French fries is crossly quirky,French fries,62
2,Green curry chicken is softly fixed,Green curry chicken,63
16,Sundubu jjigae is bitterly kind,Sundubu jjigae,63
18,Rau muong is generously imperfect,Rau muong,63
22,Cheeseburger is healthily quiet,Cheeseburger,63
8,Thai hanglay curry is regularly wandering,Thai hanglay curry,64
25,Tostadas is mainly spurious,Tostadas,64
6,Oyster omelette is mostly colossal,Oyster omelette,64
11,Ayam goreng is sedately decent,Ayam goreng,64
5,Cantonese chicken soup is seldom near,Cantonese chicken soup,64
13,Rujak cingur is brightly serious,Rujak cingur,64
22,Risotto is vastly languid,Risotto,64
14,Pozole is yearningly ugly,Pozole,64
5,Isaan soup is fully yielding,Isaan soup,64
14,Korma is slightly best,Korma,64
19,Chicken galangal soup is absentmindedly hysterical,Chicken galangal soup,65
5,Tempura is upward basic,Tempura,65
8,Polenta is positively volatile,Polenta,65
15,Bak kut teh is tediously upbeat,Bak kut teh,65
14,Macaroni and Cheese is yieldingly creepy,Macaroni and Cheese,65
2,Ayam goreng is lively kaput,Ayam goreng,65
14,Hokkien prawn mee is zestfully lucky,Hokkien prawn mee,66
16,Sate is successfully helpless,Sate,66
13,Ribollita is reassuringly shrill,Ribollita,66
6,Chicken rice is essentially tart,Chicken rice,66
12,Enchiladas is clearly slim,Enchiladas,66
25,Kimchi stew is jaggedly fixed,Kimchi stew,66
7,Oyster omelette is offensively cool,Oyster omelette,66
18,Tom yum goong is daily classy,Tom yum goong,67
18,Naan is wearily gabby,Naan,67
21,Tacos al pastor is immediately evasive,Tacos al pastor,67
11,Green curry chicken is exactly nauseating,Green curry chicken,67
6,Ramyeon is upside-down willing,Ramyeon,68
8,Chocolate chip cookie is smoothly piquant,Chocolate chip cookie,68
2,Hash browns is dreamily aboriginal,Hash browns,68
2,Chicken wings is violently shaky,Chicken wings,68
3,Banh khot is yearningly dapper,Banh khot,68
11,Chicken with chestnuts is energetically nonchalant,Chicken with chestnuts,69
14,Bhajji is kissingly smiling,Bhajji,69
5,Goi cuon is colorfully elated,Goi cuon,69
18,Chilaquiles is frankly grateful,Chilaquiles,70
5,Risotto is upwardly basic,Risotto,70
5,Spicy stir fried octopus is voluntarily weak,Spicy stir fried octopus,70
6,Fried carrot cake is defiantly childlike,Fried carrot cake,70
9,Ramen is busily tan,Ramen,70
22,Elote is joyfully robust,Elote,70
17,Dim sum is quickly automatic,Dim sum,70
9,Yakitori is gracefully guiltless,Yakitori,71
15,Sour soup is needily tight,Sour soup,71
6,Chicken with chestnuts is finally disgusted,Chicken with chestnuts,71
10,Doughnut is fervently grubby,Doughnut,71
10,Kimchi is inwardly repulsive,Kimchi,71
24,Bottarga is quizzically noxious,Bottarga,71
5,Cao lau is kiddingly nervous,Cao lau,71
14,Isaan soup is ahead obese,Isaan soup,72
12,Hokkien prawn mee is thoroughly swanky,Hokkien prawn mee,72
10,Gado gado is famously attractive,Gado gado,72
6,Cha ca is solemnly homely,Cha ca,72
17,Samgyeopsal is also acceptable,Samgyeopsal,73
4,Donburi is ferociously bitter,Donburi,73
5,Enchiladas is busily scary,Enchiladas,73
18,Green curry chicken is fortunately foregoing,Green curry chicken,73
5,Chole is smoothly nonchalant,Chole,73
5,Murg makhani is overconfidently spurious,Murg makhani,73
11,Gado gado is rightfully colossal,Gado gado,73
18,Spring rolls is cruelly innate,Spring rolls,74
4,Hash browns is quickly attractive,Hash browns,74
4,Cheeseburger is therefore spiffy,Cheeseburger,74
16,Spaghetti Carbonara is beautifully cultured,Spaghetti Carbonara,74
4,Chilaquiles is inquisitively cloudy,Chilaquiles,75
4,Naan is righteously oval,Naan,75
4,Sate is hungrily competitive,Sate,75
13,Gado gado is potentially flaky,Gado gado,75
4,Bhajji is doubtfully null,Bhajji,75
6,Bak chor mee is tensely wide,Bak chor mee,75
13,Sour soup is frankly bright,Sour soup,76
18,Bakso is regularly spotted,Bakso,76
10,Dim sum is defiantly descriptive,Dim sum,76
5,Fried chicken is hopelessly auspicious,Fried chicken,76
10,Cantonese chicken soup is righteously spurious,Cantonese chicken soup,76
7,Donburi is ever quiet,Donburi,76
22,Ossobuco is energetically thirsty,Ossobuco,76
9,Pho is reproachfully near,Pho,77
13,Szechwan chilli chicken is then resonant,Szechwan chilli chicken,77
20,Chicken wings is upward loutish,Chicken wings,77
1,Nem ran is enthusiastically acoustic,Nem ran,77
4,Noodles is crossly wasteful,Noodles,77
6,Bibimbap is twice informal,Bibimbap,77
15,Ramyeon is widely lame,Ramyeon,77
6,Spaghetti Bolognese is widely basic,Spaghetti Bolognese,77
1,Pozole is lively quiet,Pozole,77
10,Donburi is deeply foolish,Donburi,77
8,Chicken galangal soup is accidentally adventurous,Chicken galangal soup,78
2,Tempura is generously grateful,Tempura,78
18,Polenta is coaxingly mountainous,Polenta,78
26,Bak kut teh is gladly weak,Bak kut teh,78
15,Macaroni and Cheese is speedily lucky,Macaroni and Cheese,78
6,Ayam goreng is gracefully jumpy,Ayam goreng,78
14,Ramen is awkwardly nonchalant,Ramen,78
4,Sichuan pork is hopelessly temporary,Sichuan pork,78
14,Donburi is inquisitively probable,Donburi,79
18,Sundubu jjigae is healthily helpless,Sundubu jjigae,79
7,Banh khot is usefully colossal,Banh khot,79
18,Papdi chaat is commonly swanky,Papdi chaat,79
12,Kimchi stew is selfishly dangerous,Kimchi stew,80
9,Mole is dimly alluring,Mole,80
8,Chicken wings is sedately blue-eyed,Chicken wings,80
14,French fries is soon languid,French fries,80
18,Sashimi is smoothly amused,Sashimi,80
6,Hokkien prawn mee is voluntarily damaged,Hokkien prawn mee,81
4,Fried carrot cake is deliberately naive,Fried carrot cake,81
7,Guacamole is anyway milky,Guacamole,81
30,Isaan soup is recklessly thinkable,Isaan soup,81
9,Tandoori chicken is sadly tangible,Tandoori chicken,81
8,Bibimbap is previously bumpy,Bibimbap,81
4,Sate is vainly cloudy,Sate,81
19,Hokkien prawn mee is tremendously slim,Hokkien prawn mee,82
10,Tacos al pastor is rapidly bright,Tacos al pastor,82
5,Bun bo hue is miserably shrill,Bun bo hue,82
5,Fried chicken is unexpectedly soggy,Fried chicken,82
8,Pork bulgogi is soon willing,Pork bulgogi,82
19,Spaghetti Carbonara is frequently tall,Spaghetti Carbonara,82
17,Ayam goreng is basically small,Ayam goreng,83
14,French fries is exactly classy,French fries,83
3,Cheeseburger is adventurously adjoining,Cheeseburger,83
3,Hash browns is nicely lucky,Hash browns,83
11,Fried carrot cake is eventually fresh,Fried carrot cake,83
10,Sundubu jjigae is occasionally dangerous,Sundubu jjigae,83
